epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4818,1.38047,3.50361,1.29123,0.20067,0.22244,0.14816,0.10132,1.28395,2.398,1.17846,0.0701435,0.00331738,0.00331738
2,57.1105,1.28816,2.2135,1.18945,0.20048,0.23724,0.14245,0.09517,1.3725,2.47551,1.2201,0.0401271,0.00663426,0.00663426
3,84.4891,1.39177,2.24477,1.22614,0.16401,0.22426,0.0989,0.0602,1.50778,3.03746,1.30322,0.0100941,0.00993463,0.00993463
4,113.459,1.52182,2.37303,1.28847,0.20762,0.11467,0.07599,0.04267,1.71556,3.30857,1.49772,0.00992575,0.00992575,0.00992575
5,141.187,1.51883,2.29483,1.29433,0.19963,0.20076,0.1331,0.0815,1.57549,2.56359,1.34069,0.009901,0.009901,0.009901
6,173.987,1.49384,2.223,1.29142,0.2327,0.21023,0.12768,0.0772,1.608,2.66672,1.39856,0.00987625,0.00987625,0.00987625
7,204.327,1.47682,2.16348,1.2765,0.37272,0.18502,0.13372,0.08559,1.62374,2.79827,1.39493,0.0098515,0.0098515,0.0098515
8,237.256,1.46828,2.10533,1.26896,0.31829,0.22503,0.16512,0.10473,1.49087,2.3864,1.31977,0.00982675,0.00982675,0.00982675
9,269.458,1.44802,2.01122,1.24709,0.37777,0.22863,0.19301,0.12083,1.49824,2.38658,1.29159,0.009802,0.009802,0.009802
10,303.846,1.43412,2.00417,1.23873,0.2668,0.26051,0.18284,0.11043,1.51204,2.38485,1.30297,0.00977725,0.00977725,0.00977725
11,338.381,1.3853,1.88391,1.21376,0.40345,0.24149,0.20949,0.13334,1.46143,2.30541,1.25222,0.0097525,0.0097525,0.0097525
12,371.401,1.37767,1.80885,1.20529,0.32702,0.26891,0.19243,0.11888,1.53905,2.36296,1.32014,0.00972775,0.00972775,0.00972775
13,406.517,1.38095,1.773,1.20158,0.32339,0.28557,0.23346,0.15325,1.42834,2.20551,1.23015,0.009703,0.009703,0.009703
14,439.892,1.34429,1.70645,1.19504,0.30962,0.29944,0.22763,0.1489,1.42708,2.2201,1.2542,0.00967825,0.00967825,0.00967825
15,472.065,1.31269,1.62928,1.16914,0.34189,0.30985,0.2565,0.16835,1.40224,2.15348,1.24323,0.0096535,0.0096535,0.0096535
16,506.337,1.31269,1.59017,1.17459,0.42616,0.28607,0.25618,0.16723,1.38095,2.09445,1.21572,0.00962875,0.00962875,0.00962875
17,540.494,1.30431,1.5469,1.15931,0.45148,0.28921,0.27867,0.18328,1.39576,2.03666,1.22648,0.009604,0.009604,0.009604
18,571.512,1.26259,1.50744,1.15609,0.34714,0.31871,0.25383,0.16292,1.41037,2.1626,1.22337,0.00957925,0.00957925,0.00957925
19,599.048,1.29523,1.47556,1.14314,0.42684,0.29207,0.27782,0.18228,1.36241,2.05896,1.20038,0.0095545,0.0095545,0.0095545
20,629.229,1.24908,1.3963,1.12551,0.36131,0.35276,0.28927,0.1922,1.37976,2.08355,1.22536,0.00952975,0.00952975,0.00952975
21,662.652,1.24924,1.38564,1.13177,0.40617,0.29866,0.26121,0.17335,1.39767,2.15413,1.21152,0.009505,0.009505,0.009505
22,694.601,1.2074,1.33627,1.11905,0.47751,0.33232,0.30679,0.20352,1.35482,2.01956,1.2048,0.00948025,0.00948025,0.00948025
23,727.208,1.24711,1.32541,1.12706,0.39341,0.32758,0.2879,0.19171,1.34231,2.03959,1.18427,0.0094555,0.0094555,0.0094555
24,757.01,1.20643,1.27395,1.10528,0.45207,0.31439,0.30783,0.20804,1.35098,2.0097,1.21451,0.00943075,0.00943075,0.00943075
25,790.426,1.19857,1.24351,1.11033,0.4371,0.32269,0.30867,0.20744,1.35277,2.0408,1.2051,0.009406,0.009406,0.009406
26,825.477,1.19656,1.24288,1.10287,0.41549,0.33136,0.3005,0.19423,1.35705,2.06911,1.19156,0.00938125,0.00938125,0.00938125
27,857.482,1.1963,1.20769,1.09421,0.43932,0.3446,0.32182,0.21627,1.32505,2.01822,1.18399,0.0093565,0.0093565,0.0093565
28,892.331,1.17441,1.161,1.08906,0.4756,0.34736,0.32905,0.2163,1.34632,1.98791,1.19063,0.00933175,0.00933175,0.00933175
29,925.641,1.16163,1.12261,1.08791,0.45607,0.34071,0.33603,0.22912,1.3367,1.96209,1.1912,0.009307,0.009307,0.009307
30,954.75,1.15147,1.09729,1.0793,0.44198,0.37093,0.33911,0.22419,1.35604,1.9679,1.20648,0.00928225,0.00928225,0.00928225
31,982.148,1.1473,1.08918,1.07579,0.48197,0.32696,0.32321,0.21957,1.32524,2.02276,1.18386,0.0092575,0.0092575,0.0092575
32,1010.45,1.13222,1.08938,1.05882,0.51018,0.33799,0.3309,0.22464,1.31698,2.05101,1.17841,0.00923275,0.00923275,0.00923275
33,1037.41,1.12854,1.05375,1.06538,0.55844,0.3067,0.32443,0.21544,1.34337,2.0358,1.19047,0.009208,0.009208,0.009208
34,1064.24,1.14071,1.0438,1.05962,0.45064,0.34252,0.32726,0.22044,1.33025,2.0262,1.17568,0.00918325,0.00918325,0.00918325
35,1091.57,1.11191,1.01456,1.05058,0.46937,0.3508,0.3272,0.21802,1.32083,2.09127,1.18004,0.0091585,0.0091585,0.0091585
36,1118.56,1.11131,0.99633,1.05293,0.44724,0.36107,0.33007,0.22372,1.30353,1.96714,1.17311,0.00913375,0.00913375,0.00913375
37,1147.7,1.08355,0.96969,1.04549,0.46008,0.38039,0.35677,0.24117,1.29808,1.91238,1.15653,0.009109,0.009109,0.009109
38,1183.01,1.09251,0.96259,1.04481,0.46711,0.37013,0.34642,0.23641,1.30548,1.98732,1.17081,0.00908425,0.00908425,0.00908425
39,1217.88,1.09689,0.96852,1.03361,0.54207,0.34157,0.34392,0.23607,1.30814,1.99686,1.17551,0.0090595,0.0090595,0.0090595
40,1249.11,1.08795,0.94833,1.04203,0.61392,0.33776,0.35906,0.24491,1.30885,1.97132,1.17268,0.00903475,0.00903475,0.00903475
41,1280.76,1.06564,0.93772,1.03347,0.54706,0.36425,0.36785,0.24983,1.31251,1.95201,1.16978,0.00901,0.00901,0.00901
42,1315.22,1.07516,0.91267,1.04077,0.5524,0.35552,0.36189,0.25081,1.28905,1.94419,1.15378,0.00898525,0.00898525,0.00898525
43,1349.65,1.06442,0.89984,1.02732,0.55544,0.36823,0.37796,0.2594,1.27599,1.94207,1.16306,0.0089605,0.0089605,0.0089605
44,1384.66,1.06269,0.89812,1.03048,0.53438,0.36284,0.37476,0.25288,1.3243,1.93266,1.18271,0.00893575,0.00893575,0.00893575
45,1415.95,1.06336,0.89361,1.02751,0.5647,0.3745,0.38082,0.26024,1.29497,1.91202,1.18019,0.008911,0.008911,0.008911
46,1443.03,1.04125,0.86932,1.022,0.51618,0.38515,0.38485,0.26627,1.28323,1.92756,1.1595,0.00888625,0.00888625,0.00888625
47,1470.26,1.03935,0.8518,1.01886,0.51565,0.38092,0.37834,0.25614,1.29688,1.99148,1.16597,0.0088615,0.0088615,0.0088615
48,1497.78,1.0468,0.8568,1.01415,0.53848,0.36942,0.36267,0.25136,1.27719,1.98606,1.15106,0.00883675,0.00883675,0.00883675
