epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,65.6615,1.29797,4.10373,1.24684,0.25055,0.18256,0.09994,0.06912,1.1963,2.71791,1.179,0.000150518,0.000150518,0.000150518
2,125.226,1.2501,2.58445,1.19344,0.27028,0.20321,0.11764,0.0823,1.26749,2.68169,1.22016,0.000299193,0.000299193,0.000299193
3,184.285,1.28985,2.36148,1.21804,0.25193,0.14787,0.10584,0.07088,1.42772,2.83566,1.34058,0.000444865,0.000444865,0.000444865
4,243.623,1.28982,2.2252,1.2201,0.23912,0.19417,0.10708,0.07075,1.32686,2.82125,1.26136,0.000441486,0.000441486,0.000441486
5,302.923,1.25514,2.05193,1.19158,0.20961,0.22412,0.15686,0.10581,1.28155,2.50241,1.23115,0.000436982,0.000436982,0.000436982
6,362.503,1.22822,1.92426,1.17411,0.33659,0.20175,0.17159,0.1218,1.28536,2.47931,1.23822,0.000432478,0.000432478,0.000432478
7,422.01,1.2098,1.79408,1.16453,0.27366,0.24715,0.18853,0.13228,1.22484,2.3754,1.19526,0.000427973,0.000427973,0.000427973
8,485.83,1.16871,1.67337,1.15477,0.3282,0.23823,0.20424,0.14759,1.23498,2.34483,1.20075,0.000423468,0.000423468,0.000423468
9,544.591,1.14648,1.52937,1.13181,0.36187,0.2566,0.20466,0.14518,1.26834,2.43323,1.20949,0.000418964,0.000418964,0.000418964
10,603.563,1.14492,1.47037,1.12189,0.36444,0.26505,0.2245,0.15943,1.24151,2.31706,1.20206,0.00041446,0.00041446,0.00041446
11,662.847,1.11984,1.38044,1.11503,0.36126,0.27498,0.23799,0.17231,1.22443,2.27489,1.1919,0.000409955,0.000409955,0.000409955
12,722.002,1.11199,1.32125,1.09873,0.44443,0.24145,0.2401,0.17114,1.20758,2.33411,1.1755,0.000405451,0.000405451,0.000405451
13,781.024,1.08082,1.23348,1.0939,0.39631,0.27798,0.25615,0.18136,1.22863,2.31176,1.18635,0.000400946,0.000400946,0.000400946
14,839.523,1.07492,1.20404,1.09094,0.47802,0.27668,0.27461,0.19918,1.21401,2.23322,1.18475,0.000396441,0.000396441,0.000396441
15,898.836,1.05351,1.14359,1.08374,0.43995,0.28747,0.25767,0.18653,1.17763,2.30529,1.16124,0.000391937,0.000391937,0.000391937
16,958.085,1.04043,1.10018,1.06736,0.47047,0.28721,0.28541,0.20829,1.19641,2.2361,1.16561,0.000387433,0.000387433,0.000387433
17,1017.14,1.03142,1.05511,1.05425,0.46134,0.30695,0.29707,0.21637,1.17358,2.17722,1.16782,0.000382928,0.000382928,0.000382928
18,1075.64,1.03997,1.03123,1.05811,0.5116,0.29874,0.29519,0.21612,1.1666,2.20684,1.16413,0.000378423,0.000378423,0.000378423
19,1135.3,1.02663,0.99705,1.04646,0.5092,0.31373,0.3033,0.22022,1.1707,2.21199,1.15441,0.000373919,0.000373919,0.000373919
20,1195.94,1.0084,0.96606,1.04568,0.56447,0.29523,0.30569,0.2237,1.16734,2.22162,1.15356,0.000369415,0.000369415,0.000369415
21,1256.2,1.00117,0.93961,1.04801,0.47839,0.30922,0.31019,0.22829,1.16339,2.16921,1.1574,0.00036491,0.00036491,0.00036491
22,1317.71,0.97869,0.8988,1.03421,0.54319,0.31492,0.32652,0.24024,1.15288,2.19618,1.13825,0.000360406,0.000360406,0.000360406
23,1375.16,0.98127,0.89436,1.03229,0.49347,0.31786,0.32223,0.23937,1.13718,2.13912,1.14576,0.000355901,0.000355901,0.000355901
24,1432.59,0.95793,0.85729,1.02509,0.52966,0.32814,0.33623,0.2499,1.15383,2.15084,1.14955,0.000351396,0.000351396,0.000351396
25,1490.25,0.94707,0.84061,1.01826,0.54225,0.33242,0.34278,0.25166,1.1694,2.19234,1.13934,0.000346892,0.000346892,0.000346892
26,1547.4,0.9574,0.8295,1.02323,0.54924,0.33998,0.34433,0.25748,1.12695,2.13148,1.13301,0.000342387,0.000342387,0.000342387
27,1604.74,0.93729,0.80099,1.01105,0.54272,0.33295,0.34374,0.2531,1.15383,2.25347,1.14693,0.000337883,0.000337883,0.000337883
28,1661.95,0.93145,0.7795,1.00718,0.56093,0.33905,0.3512,0.25905,1.1325,2.10856,1.13741,0.000333379,0.000333379,0.000333379
29,1719.66,0.93537,0.77673,1.00313,0.58331,0.3511,0.35545,0.26097,1.12921,2.10021,1.13774,0.000328874,0.000328874,0.000328874
30,1777,0.92406,0.75314,1.00922,0.62663,0.32727,0.35025,0.26083,1.13504,2.18403,1.12327,0.000324369,0.000324369,0.000324369
31,1834.77,0.90939,0.74363,0.99364,0.60636,0.33967,0.36225,0.27209,1.13124,2.11088,1.13158,0.000319865,0.000319865,0.000319865
32,1893.26,0.90559,0.72769,0.99195,0.61673,0.3374,0.36164,0.27043,1.13249,2.13948,1.12141,0.00031536,0.00031536,0.00031536
33,1950.59,0.90546,0.72483,0.99583,0.64058,0.34172,0.36973,0.27536,1.12652,2.11123,1.13057,0.000310856,0.000310856,0.000310856
34,2007.99,0.88456,0.70477,0.9887,0.62378,0.33293,0.36956,0.27233,1.11081,2.10708,1.11985,0.000306351,0.000306351,0.000306351
35,2065.62,0.90109,0.71181,0.9898,0.63978,0.338,0.36292,0.27096,1.12164,2.13417,1.1257,0.000301847,0.000301847,0.000301847
36,2123.09,0.87225,0.68613,0.97881,0.63495,0.33466,0.36605,0.27189,1.11788,2.13788,1.11883,0.000297342,0.000297342,0.000297342
37,2180.47,0.88723,0.6874,0.98556,0.63019,0.35256,0.37772,0.28246,1.09791,2.07951,1.11946,0.000292838,0.000292838,0.000292838
38,2237.81,0.86383,0.6704,0.97577,0.62556,0.34949,0.36155,0.2695,1.12046,2.16485,1.12612,0.000288333,0.000288333,0.000288333
39,2295,0.86211,0.65713,0.97632,0.60339,0.36064,0.37765,0.28498,1.08709,2.09801,1.11069,0.000283829,0.000283829,0.000283829
40,2352.22,0.86492,0.65467,0.97313,0.6936,0.3314,0.36703,0.27897,1.08585,2.10902,1.11018,0.000279325,0.000279325,0.000279325
41,2409.38,0.8499,0.63646,0.97154,0.67697,0.34386,0.37385,0.27758,1.12057,2.142,1.12997,0.00027482,0.00027482,0.00027482
42,2466.69,0.84366,0.62745,0.9634,0.68333,0.35362,0.37894,0.28596,1.08797,2.10351,1.10533,0.000270316,0.000270316,0.000270316
43,2523.91,0.8467,0.6238,0.96275,0.65507,0.34894,0.37372,0.2841,1.10686,2.17123,1.11489,0.000265811,0.000265811,0.000265811
