epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,113.347,0.62206,0.41582,0.90667,0.69503,0.37761,0.42379,0.32333,1.05232,2.2366,1.14027,0.00332066,0.00332066,0.00332066
2,224.47,0.68166,0.4669,0.92475,0.59366,0.3512,0.37075,0.28549,1.09575,2.35566,1.16547,0.00662106,0.00662106,0.00662106
3,335.288,0.77759,0.57188,0.96309,0.5133,0.30208,0.30614,0.22193,1.21921,2.56851,1.23163,0.00988845,0.00988845,0.00988845
4,445.812,0.87401,0.70435,1.00421,0.48656,0.27797,0.26647,0.18987,1.28143,2.70893,1.27199,0.0098515,0.0098515,0.0098515
5,556.066,0.92492,0.76843,1.02312,0.59807,0.31371,0.33189,0.24395,1.18183,2.3645,1.20831,0.009802,0.009802,0.009802
6,666.198,0.90576,0.73776,1.01606,0.52918,0.26415,0.26973,0.19885,1.20651,2.53695,1.22693,0.0097525,0.0097525,0.0097525
7,776.95,0.92974,0.76889,1.01917,0.56939,0.29446,0.29462,0.21569,1.17733,2.385,1.21105,0.009703,0.009703,0.009703
8,887.583,0.90124,0.73306,1.00908,0.55555,0.35749,0.36207,0.26861,1.12547,2.18873,1.17518,0.0096535,0.0096535,0.0096535
9,997.721,0.89646,0.721,1.0049,0.58871,0.34455,0.36351,0.26727,1.15746,2.21517,1.1988,0.009604,0.009604,0.009604
10,1108.77,0.8898,0.70189,0.9993,0.6548,0.33501,0.35017,0.25978,1.1408,2.20743,1.1734,0.0095545,0.0095545,0.0095545
11,1219.36,0.90096,0.71491,1.00891,0.58621,0.32036,0.34064,0.25219,1.15378,2.29396,1.19612,0.009505,0.009505,0.009505
12,1329.68,0.87829,0.68408,0.99826,0.56884,0.36436,0.37831,0.28291,1.11439,2.15315,1.1719,0.0094555,0.0094555,0.0094555
13,1440.39,0.86682,0.67659,0.99662,0.60029,0.35925,0.37253,0.27486,1.1264,2.13711,1.17201,0.009406,0.009406,0.009406
14,1551.02,0.87481,0.68585,0.99831,0.61456,0.35347,0.36521,0.26957,1.12311,2.1783,1.17963,0.0093565,0.0093565,0.0093565
15,1661.27,0.86814,0.67595,0.99447,0.64092,0.35325,0.36731,0.27184,1.11792,2.1779,1.17708,0.009307,0.009307,0.009307
16,1771.74,0.86784,0.66375,0.99105,0.66286,0.3565,0.37864,0.27729,1.11355,2.15455,1.15907,0.0092575,0.0092575,0.0092575
17,1882.31,0.84866,0.65112,0.9885,0.66264,0.34686,0.37687,0.28218,1.09578,2.14157,1.14426,0.009208,0.009208,0.009208
18,1992.86,0.85891,0.65135,0.98582,0.62882,0.36849,0.38198,0.28035,1.1047,2.16644,1.16876,0.0091585,0.0091585,0.0091585
19,2103,0.83933,0.63114,0.9848,0.6252,0.34949,0.36497,0.26881,1.11316,2.17573,1.16341,0.009109,0.009109,0.009109
20,2213.6,0.83064,0.62116,0.9853,0.69828,0.35836,0.38093,0.28238,1.09797,2.2433,1.15967,0.0090595,0.0090595,0.0090595
21,2324.24,0.83468,0.618,0.98167,0.63311,0.3522,0.36723,0.2728,1.08862,2.28695,1.14822,0.00901,0.00901,0.00901
22,2434.29,0.84225,0.62032,0.97763,0.62285,0.35929,0.37998,0.28355,1.08009,2.17862,1.14829,0.0089605,0.0089605,0.0089605
23,2545,0.83369,0.61419,0.96872,0.66251,0.36276,0.39381,0.29465,1.08305,2.19931,1.14604,0.008911,0.008911,0.008911
24,2655.33,0.81637,0.59843,0.97226,0.62726,0.35544,0.37956,0.28182,1.12131,2.19479,1.16627,0.0088615,0.0088615,0.0088615
