epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.543,0.78301,0.57177,0.93627,0.52516,0.27628,0.29065,0.20904,1.25836,2.83324,1.2096,0.0733841,0.00665397,0.00665397
2,125.214,0.91365,0.80111,0.98634,0.45165,0.25382,0.23155,0.16386,1.3258,2.79718,1.25138,0.0467166,0.0133198,0.0133198
3,183.078,1.0401,1.06042,1.04929,0.47217,0.21521,0.20614,0.14292,1.35028,2.62334,1.25027,0.0200459,0.0199824,0.0199824
4,242.917,1.17021,1.3282,1.10441,0.44743,0.24724,0.24003,0.17035,1.32264,2.53227,1.23218,0.019989,0.019989,0.019989
5,301.03,1.17077,1.32448,1.10752,0.40715,0.24884,0.23314,0.1614,1.30238,2.47002,1.21669,0.0199805,0.0199805,0.0199805
6,361.239,1.16609,1.31188,1.11008,0.48318,0.26829,0.2506,0.17187,1.29635,2.44318,1.22048,0.0199695,0.0199695,0.0199695
7,419.473,1.15667,1.28429,1.09816,0.49592,0.2518,0.24985,0.17126,1.30387,2.39575,1.22449,0.0199561,0.0199561,0.0199561
8,479.377,1.15911,1.24516,1.09946,0.47567,0.27016,0.26181,0.18345,1.28607,2.38119,1.20366,0.0199402,0.0199402,0.0199402
9,537.295,1.13302,1.18246,1.08273,0.43598,0.28995,0.27697,0.19697,1.24171,2.30385,1.18779,0.0199219,0.0199219,0.0199219
10,594.365,1.13227,1.16789,1.08212,0.48651,0.26521,0.27804,0.19476,1.26844,2.32713,1.20301,0.0199012,0.0199012,0.0199012
11,651.648,1.12246,1.14744,1.07892,0.50132,0.28402,0.27501,0.19485,1.24052,2.2897,1.18643,0.0198781,0.0198781,0.0198781
12,708.807,1.10918,1.11471,1.07246,0.40209,0.27636,0.24289,0.169,1.30613,2.51433,1.23158,0.0198526,0.0198526,0.0198526
13,765.897,1.10569,1.11146,1.07178,0.46866,0.30529,0.27958,0.19656,1.24921,2.25962,1.18108,0.0198246,0.0198246,0.0198246
14,822.581,1.10806,1.10395,1.07223,0.51974,0.28595,0.29109,0.20525,1.24578,2.33771,1.17912,0.0197943,0.0197943,0.0197943
15,879.512,1.09039,1.06767,1.06084,0.51225,0.29241,0.2912,0.20772,1.21872,2.30431,1.16243,0.0197616,0.0197616,0.0197616
16,936.523,1.07052,1.04128,1.06138,0.47575,0.30536,0.29337,0.20883,1.22879,2.28509,1.16909,0.0197265,0.0197265,0.0197265
17,994.399,1.05653,1.01396,1.05191,0.55337,0.28302,0.30071,0.21623,1.23754,2.31394,1.18291,0.019689,0.019689,0.019689
18,1051.42,1.05948,1.00084,1.05439,0.54302,0.29657,0.31167,0.22354,1.21663,2.24789,1.15578,0.0196491,0.0196491,0.0196491
19,1108.41,1.05488,0.98102,1.04485,0.56742,0.31193,0.31358,0.22366,1.20166,2.19818,1.16085,0.0196069,0.0196069,0.0196069
20,1165.18,1.06216,0.98487,1.05015,0.56245,0.31419,0.30888,0.21712,1.20808,2.27808,1.15642,0.0195624,0.0195624,0.0195624
21,1222,1.06398,0.9833,1.05397,0.4897,0.32296,0.31458,0.22541,1.20632,2.22996,1.1668,0.0195155,0.0195155,0.0195155
22,1278.83,1.03322,0.94115,1.03683,0.56422,0.31991,0.32814,0.23544,1.19157,2.26197,1.14714,0.0194662,0.0194662,0.0194662
23,1336.64,1.03013,0.93814,1.03744,0.57233,0.31051,0.32509,0.2351,1.19603,2.19274,1.16226,0.0194147,0.0194147,0.0194147
24,1393.51,1.03434,0.92627,1.03622,0.51871,0.31085,0.31044,0.22472,1.20456,2.28383,1.15276,0.0193609,0.0193609,0.0193609
25,1450.56,1.01591,0.90656,1.0272,0.58973,0.30947,0.3232,0.23148,1.20781,2.25786,1.16179,0.0193048,0.0193048,0.0193048
26,1507.27,1.01375,0.90546,1.03146,0.53119,0.33121,0.33038,0.24013,1.18584,2.15738,1.15731,0.0192464,0.0192464,0.0192464
27,1563.78,1.00624,0.89993,1.03424,0.57984,0.31609,0.32972,0.23876,1.14126,2.16404,1.13227,0.0191858,0.0191858,0.0191858
28,1620.68,1.00911,0.89676,1.0271,0.57722,0.32123,0.3344,0.24116,1.16323,2.16481,1.14038,0.0191229,0.0191229,0.0191229
29,1678.03,1.0013,0.87285,1.0243,0.53266,0.32843,0.32951,0.23972,1.17805,2.25457,1.15518,0.0190578,0.0190578,0.0190578
30,1735.17,1.00647,0.87657,1.02508,0.56515,0.32472,0.33432,0.24223,1.17569,2.17988,1.15564,0.0189905,0.0189905,0.0189905
31,1792.02,0.9949,0.85335,1.0194,0.54151,0.32507,0.32637,0.23327,1.18857,2.24393,1.15189,0.018921,0.018921,0.018921
32,1848.88,0.9886,0.85655,1.02002,0.58934,0.3335,0.33905,0.24984,1.16512,2.17809,1.14526,0.0188493,0.0188493,0.0188493
33,1905.4,0.99071,0.86264,1.02066,0.567,0.32214,0.33173,0.24204,1.16028,2.22707,1.13765,0.0187754,0.0187754,0.0187754
34,1962.17,0.9898,0.8308,1.01785,0.58195,0.34369,0.35558,0.2588,1.17514,2.16696,1.15767,0.0186995,0.0186995,0.0186995
35,2019.21,0.98473,0.83726,1.01725,0.55579,0.33744,0.34995,0.25989,1.15654,2.08737,1.13915,0.0186213,0.0186213,0.0186213
36,2076.55,0.97356,0.8195,1.01111,0.66963,0.32225,0.34836,0.25625,1.17154,2.18325,1.15354,0.0185411,0.0185411,0.0185411
37,2133.28,0.9812,0.83127,1.01981,0.60191,0.32856,0.34677,0.2556,1.16248,2.17322,1.15326,0.0184588,0.0184588,0.0184588
38,2190.19,0.96467,0.79678,1.00814,0.5766,0.33183,0.34102,0.25019,1.15065,2.17321,1.13445,0.0183745,0.0183745,0.0183745
39,2246.75,0.96884,0.81292,1.01021,0.60574,0.3298,0.34602,0.25521,1.1539,2.16521,1.14037,0.0182881,0.0182881,0.0182881
40,2303.49,0.96292,0.80575,1.00477,0.56128,0.35137,0.35984,0.26664,1.14101,2.14519,1.13039,0.0181997,0.0181997,0.0181997
41,2360.33,0.94348,0.77394,0.99654,0.58926,0.34028,0.34931,0.25433,1.16945,2.18222,1.1557,0.0181093,0.0181093,0.0181093
42,2417.93,0.9605,0.78373,1.0026,0.60463,0.35165,0.36452,0.26659,1.15303,2.11735,1.13433,0.0180169,0.0180169,0.0180169
43,2474.95,0.93108,0.75744,0.9942,0.58914,0.34046,0.35327,0.25905,1.13226,2.20488,1.1155,0.0179225,0.0179225,0.0179225
44,2531.95,0.94014,0.76202,0.9955,0.54263,0.34566,0.34534,0.25307,1.15869,2.23508,1.13551,0.0178263,0.0178263,0.0178263
45,2588.62,0.93839,0.7649,1.00036,0.61719,0.3448,0.35574,0.26122,1.12475,2.19347,1.11209,0.0177281,0.0177281,0.0177281
46,2645.21,0.92625,0.74799,0.98863,0.63461,0.34228,0.35489,0.26187,1.13413,2.1945,1.12759,0.017628,0.017628,0.017628
47,2702.09,0.94666,0.76202,0.9927,0.59835,0.35704,0.36113,0.26491,1.13891,2.20044,1.12462,0.0175261,0.0175261,0.0175261
48,2759.46,0.92122,0.73674,0.99083,0.66711,0.34704,0.37026,0.27234,1.13011,2.14679,1.12643,0.0174223,0.0174223,0.0174223
49,2816.93,0.91046,0.72545,0.98593,0.58814,0.35536,0.36683,0.27074,1.12667,2.1626,1.12073,0.0173168,0.0173168,0.0173168
50,2873.87,0.92578,0.72876,0.98971,0.66649,0.35229,0.37569,0.27531,1.11807,2.11875,1.12458,0.0172095,0.0172095,0.0172095
51,2930.49,0.91159,0.71753,0.98458,0.62613,0.34405,0.37038,0.2769,1.11877,2.18163,1.11839,0.0171004,0.0171004,0.0171004
52,2987.24,0.91611,0.72046,0.98358,0.676,0.34481,0.37163,0.27411,1.10226,2.08684,1.10971,0.0169895,0.0169895,0.0169895
53,3044.2,0.91332,0.71066,0.98168,0.63968,0.35336,0.37803,0.27826,1.13067,2.10765,1.1321,0.016877,0.016877,0.016877
54,3101.27,0.91321,0.71559,0.99106,0.6624,0.34259,0.36407,0.26947,1.13868,2.19518,1.12594,0.0167628,0.0167628,0.0167628
55,3158.61,0.90592,0.70404,0.97625,0.59301,0.36204,0.37513,0.27968,1.13028,2.15417,1.12829,0.016647,0.016647,0.016647
56,3215.18,0.89213,0.7022,0.98228,0.59036,0.3648,0.37504,0.27894,1.10674,2.15443,1.11199,0.0165295,0.0165295,0.0165295
57,3272.49,0.89459,0.69798,0.97974,0.65881,0.35536,0.37271,0.27937,1.11631,2.15676,1.1118,0.0164105,0.0164105,0.0164105
58,3328.95,0.88351,0.69274,0.97874,0.62031,0.36466,0.38176,0.28386,1.12302,2.13664,1.12007,0.0162899,0.0162899,0.0162899
59,3385.91,0.88027,0.6876,0.97306,0.64001,0.35692,0.37522,0.28023,1.11354,2.14255,1.11435,0.0161678,0.0161678,0.0161678
